timestamp,player,action,position
2026-04-30T22:20:57,Szczesny,Recuperacion,Portero
2026-05-28T13:31:23,De Jong,Pase,Mediocampista
2026-05-28T13:31:47,Dani Olmo,Pase,Mediocampista
2026-05-28T13:31:55,De Jong,Pase,Mediocampista
2026-05-28T13:31:58,Eric Garcia,Pase,Defensa
2026-05-28T13:32:02,Dani Olmo,Pase,Mediocampista
2026-05-28T13:32:05,Pedri,Pase,Mediocampista
2026-05-28T13:32:12,Dani Olmo,Pase,Mediocampista
2026-05-28T13:32:18,Raphinha,Pase,Atacante
2026-05-28T13:32:27,Dani Olmo,Tiro,Mediocampista
2026-05-28T13:32:37,Dani Olmo,Perdida,Mediocampista
2026-05-28T13:33:23,Equipo rival,Pase,Rival
2026-05-28T13:33:37,Equipo rival,Pase errado,Rival
2026-05-28T13:33:45,De Jong,Intercepcion,Mediocampista
2026-05-28T13:34:04,I. Martinez,Falta cometida,Defensa
2026-05-28T13:34:06,I. Martinez,Tarjeta amarilla,Defensa
2026-05-28T13:34:09,Equipo rival,Falta recibida,Rival
2026-05-28T13:39:16,Equipo rival,Pase,Rival
2026-05-28T13:39:46,Equipo rival,Pase,Rival
2026-05-28T13:39:59,Equipo rival,Pase,Rival
2026-05-28T13:40:06,Equipo rival,Pase,Rival
2026-05-28T13:40:18,Equipo rival,Pase errado,Rival
2026-05-28T13:40:23,Eric Garcia,Recuperacion,Defensa
2026-05-28T13:40:26,Eric Garcia,Pase,Defensa
2026-05-28T13:40:31,Equipo rival,Perdida,Rival
2026-05-28T13:40:43,Lamine Yamal,Regate,Atacante
2026-05-28T13:40:53,Lamine Yamal,Perdida,Atacante
2026-05-28T13:40:58,Equipo rival,Recuperacion,Rival
2026-05-28T13:41:16,Equipo rival,Pase,Rival
2026-05-28T13:41:19,Equipo rival,Tiro,Rival
2026-05-28T13:41:22,Equipo rival,Perdida,Rival
2026-05-28T13:46:36,Szczesny,Pase,Portero
2026-05-28T13:46:40,Ferran Torres,Pase,Atacante
2026-05-28T13:46:50,Pedri,Pase,Mediocampista
2026-05-28T13:46:54,Balde,Pase,Defensa
2026-05-28T13:46:59,I. Martinez,Despeje,Defensa
2026-05-28T13:47:09,Dani Olmo,Pase,Mediocampista
2026-05-28T13:47:13,Equipo rival,Intercepcion,Rival
2026-05-28T13:47:32,Lamine Yamal,Pase errado,Atacante
2026-05-28T13:47:33,Lamine Yamal,Perdida,Atacante
2026-05-28T13:48:37,Equipo rival,Pase,Rival
2026-05-28T13:48:38,Equipo rival,Pase,Rival
2026-05-28T13:48:48,Equipo rival,Regate,Rival
2026-05-28T13:48:55,Equipo rival,Regate,Rival
2026-05-28T13:48:58,Equipo rival,Pase,Rival
2026-05-28T13:49:10,Equipo rival,Pase errado,Rival
2026-05-28T13:49:20,Christensen,Recuperacion,Defensa
2026-05-28T13:49:24,Christensen,Despeje,Defensa
2026-05-28T13:49:25,Christensen,Perdida,Defensa
2026-05-28T13:49:45,Equipo rival,Pase,Rival
2026-05-28T13:49:46,Equipo rival,Pase,Rival
2026-05-28T13:49:52,Equipo rival,Pase,Rival
2026-05-28T13:50:19,Equipo rival,Perdida,Rival
2026-05-28T13:50:23,De Jong,Recuperacion,Mediocampista
2026-05-28T13:50:29,De Jong,Pase,Mediocampista
2026-05-28T13:50:40,Eric Garcia,Pase,Defensa
2026-05-28T13:51:12,Lamine Yamal,Perdida,Atacante
2026-05-28T13:51:15,Equipo rival,Recuperacion,Rival
2026-05-28T13:51:24,Equipo rival,Pase,Rival
2026-05-28T13:51:30,Equipo rival,Pase,Rival
2026-05-28T13:51:39,Equipo rival,Pase,Rival
2026-05-28T13:51:41,Equipo rival,Pase,Rival
2026-05-28T13:51:51,Equipo rival,Pase,Rival
2026-05-28T13:51:55,Equipo rival,Pase,Rival
2026-05-28T13:52:05,Equipo rival,Tiro a puerta,Rival
2026-05-28T13:52:17,Szczesny,Blocaje,Portero
2026-05-28T13:52:27,Szczesny,Recuperacion,Portero
2026-05-28T13:52:51,Equipo rival,Perdida,Rival
2026-05-28T13:53:29,Szczesny,Pase,Portero
2026-05-28T13:53:37,Balde,Pase,Defensa
2026-05-28T13:53:42,Pedri,Pase,Mediocampista
2026-05-28T13:53:56,Balde,Pase,Defensa
2026-05-28T13:54:00,Raphinha,Pase errado,Atacante
